seed,variant,iteration,stability,mean_log_prob,stability_jsd,true_reject_rate,false_reject_rate
5,top_k,5,0.155178,-6.045403,0.498605,0.6052,0.2256
5,top_k,6,0.176828,-6.105359,0.487821,0.6052,0.2256
5,top_k,7,0.105178,-6.08956,0.502408,0.6052,0.2256
5,top_k,8,0.097855,-5.837753,0.443462,0.6052,0.2256
5,top_k,9,0.125,-5.899442,0.449851,0.6052,0.2256
5,top_k,10,0.135355,-6.068538,0.509733,0.6052,0.2256
5,entropy_filter,0,0.9875,-6.098058,0.516116,0.6304,0.2112
5,entropy_filter,1,0.240533,-5.993,0.462469,0.6304,0.2112
5,entropy_filter,2,0.189328,-6.036551,0.469399,0.6304,0.2112
5,entropy_filter,3,0.092678,-5.966973,0.443713,0.6304,0.2112
5,entropy_filter,4,0.092678,-6.028093,0.514895,0.6304,0.2112
5,entropy_filter,5,0.132006,-5.941812,0.476254,0.6304,0.2112
5,entropy_filter,6,0.165533,-5.932351,0.501779,0.6304,0.2112
5,entropy_filter,7,0.117678,-6.041198,0.498228,0.6304,0.2112
5,entropy_filter,8,0.185355,-6.053674,0.478239,0.6304,0.2112
5,entropy_filter,9,0.15,-5.960063,0.475452,0.6304,0.2112
5,entropy_filter,10,0.105178,-5.970702,0.477551,0.6304,0.2112
5,repetition_penalty,0,0.9875,-6.098058,0.516116,0.6052,0.2256
5,repetition_penalty,1,0.124684,-6.066558,0.498841,0.6052,0.2256
5,repetition_penalty,2,0.085979,-6.055722,0.483559,0.6052,0.2256
5,repetition_penalty,3,0.080178,-6.166656,0.498415,0.6052,0.2256
5,repetition_penalty,4,0.117678,-6.138306,0.493184,0.6052,0.2256
5,repetition_penalty,5,0.156066,-6.064257,0.504125,0.6052,0.2256
5,repetition_penalty,6,0.147855,-6.105665,0.49395,0.6052,0.2256
