seed,variant,iteration,stability_jsd,mean_log_prob,true_reject_rate,false_reject_rate,rouge_l_recall
7,oea_anchored,3,0.016624,-3.4199,0.4625,0.0625,0.1309
7,oea_anchored,4,0.040795,-2.6864,0.65,0.025,0.1042
7,oea_anchored,5,0.065818,-1.8115,0.225,0.025,0.076
7,oea_anchored,6,0.090738,-1.1426,0.65,0.025,0.047
7,oea_anchored,7,0.157963,-0.3066,0.225,0.025,0.0439
7,oea_anchored,8,0.235306,-0.1867,0.65,0.025,0.0431
7,oea_anchored,9,0.315744,-0.1891,0.225,0.025,0.0431
7,oea_anchored,10,0.395225,-0.1867,0.65,0.025,0.0431
7,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
7,oea_miscalibrated,1,0.040231,-3.2506,0.625,0.1125,0.145
7,oea_miscalibrated,2,0.065595,-3.0643,0.675,0.1,0.1136
7,oea_miscalibrated,3,0.087778,-2.7349,0.625,0.0625,0.0831
7,oea_miscalibrated,4,0.101474,-2.5873,0.7,0.0125,0.0564
7,oea_miscalibrated,5,0.137117,-2.5181,0.7375,0.0625,0.0517
7,oea_miscalibrated,6,0.188266,-2.5424,0.7125,0.0375,0.0509
7,oea_miscalibrated,7,0.244093,-2.4377,0.6625,0.0875,0.0517
7,oea_miscalibrated,8,0.303664,-2.3144,0.6375,0.0375,0.0509
7,oea_miscalibrated,9,0.33657,-2.341,0.625,0.075,0.0486
7,oea_miscalibrated,10,0.336473,-2.4405,0.6375,0.05,0.047
8,control,0,0.0,-3.3608,0.525,0.125,0.1661
8,control,1,0.021232,-3.1087,0.75,0.1125,0.1426
8,control,2,0.045986,-2.7053,0.4625,0.025,0.1121
8,control,3,0.068213,-2.3327,0.4875,0.0375,0.0823
8,control,4,0.084957,-2.0992,0.675,0.0375,0.0541
8,control,5,0.130861,-1.9158,0.6,0.05,0.0509
8,control,6,0.182571,-2.0657,0.4875,0.0875,0.0462
8,control,7,0.234927,-2.1228,0.5625,0.0625,0.0423
8,control,8,0.288148,-2.1042,0.6375,0.0875,0.047
8,control,9,0.313505,-2.0936,0.625,0.0125,0.0509
8,control,10,0.326865,-1.8782,0.575,0.025,0.0486
8,oea_rag_only,0,0.0,-3.3608,0.525,0.125,0.1661
8,oea_rag_only,1,0.030078,-3.177,0.725,0.05,0.1426
8,oea_rag_only,2,0.059507,-2.9267,0.5125,0.0625,0.1176
8,oea_rag_only,3,0.077707,-2.5351,0.5625,0.0375,0.0925
8,oea_rag_only,4,0.098619,-2.0358,0.7,0.0625,0.069
8,oea_rag_only,5,0.138853,-1.6983,0.5625,0.0375,0.0682
8,oea_rag_only,6,0.20428,-1.1918,0.4875,0.0125,0.0619
8,oea_rag_only,7,0.270028,-0.9095,0.5375,0.025,0.0549
8,oea_rag_only,8,0.335865,-0.9509,0.4625,0.0625,0.0533
8,oea_rag_only,9,0.373094,-1.0455,0.575,0.05,0.0549
8,oea_rag_only,10,0.383659,-1.5333,0.55,0.0625,0.0627
8,oea_anchored,0,0.0,-3.3608,0.525,0.125,0.1661
8,oea_anchored,1,0.007859,-3.615,0.7875,0.0875,0.1528
8,oea_anchored,2,0.026637,-3.1992,0.85,0.05,0.127
8,oea_anchored,3,0.049657,-2.6163,0.725,0.0125,0.1034
8,oea_anchored,4,0.066856,-1.9496,0.6875,0.0375,0.0784
8,oea_anchored,5,0.085544,-1.3071,0.75,0.0375,0.0533
8,oea_anchored,6,0.14087,-0.7095,0.675,0.0375,0.0478
8,oea_anchored,7,0.214902,-0.5939,0.65,0.0375,0.0455
8,oea_anchored,8,0.28403,-0.3665,0.7625,0.0375,0.0423
8,oea_anchored,9,0.363224,-0.3968,0.6625,0.0375,0.0392
8,oea_anchored,10,0.434444,-0.3961,0.6125,0.0125,0.0376
8,oea_miscalibrated,0,0.0,-3.3608,0.525,0.125,0.1661
8,oea_miscalibrated,1,0.033992,-3.2395,0.7,0.1,0.1403
8,oea_miscalibrated,2,0.05751,-3.0173,0.55,0.0625,0.1121
